地点,区域,Wiki链接,深度档案 (Atmosphere & Lore),视觉分镜 (Visuals),类型
95号避难所,Vaults,https://fallout.fandom.com/zh/wiki/95号避难所,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
儿童王国,Nuka-World,https://fallout.fandom.com/zh/wiki/儿童王国,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
原子猫修理厂,Nuka-World,https://fallout.fandom.com/zh/wiki/原子猫修理厂,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
威森原子玩具工厂,Nuka-World,https://fallout.fandom.com/zh/wiki/威森原子玩具工厂,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
布莱伯顿镇,Nuka-World,https://fallout.fandom.com/zh/wiki/布莱伯顿镇,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
干岩谷区,Nuka-World,https://fallout.fandom.com/zh/wiki/干岩谷区,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
核子世界发电厂,Nuka-World,https://fallout.fandom.com/zh/wiki/核子世界发电厂,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
核子世界红火箭,Nuka-World,https://fallout.fandom.com/zh/wiki/核子世界红火箭,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
核子世界车站,Nuka-World,https://fallout.fandom.com/zh/wiki/核子世界车站,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
核子城后台,Nuka-World,https://fallout.fandom.com/zh/wiki/核子城后台,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
核子电玩游乐场,Nuka-World,https://fallout.fandom.com/zh/wiki/核子电玩游乐场,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
核子银河冒险,Nuka-World,https://fallout.fandom.com/zh/wiki/核子银河冒险,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
泡泡山,Nuka-World,https://fallout.fandom.com/zh/wiki/泡泡山,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
清凉畅快世界门口,Nuka-World,https://fallout.fandom.com/zh/wiki/清凉畅快世界门口,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
狩猎冒险区,Nuka-World,https://fallout.fandom.com/zh/wiki/狩猎冒险区,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
疯莫利根矿坑,Nuka-World,https://fallout.fandom.com/zh/wiki/疯莫利根矿坑,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
美国核子城,Nuka-World,https://fallout.fandom.com/zh/wiki/美国核子城,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
葛兰切斯德神秘宅邸,Nuka-World,https://fallout.fandom.com/zh/wiki/葛兰切斯德神秘宅邸,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
赫伯基信徒基地,Nuka-World,https://fallout.fandom.com/zh/wiki/赫伯基信徒基地,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
银河区,Nuka-World,https://fallout.fandom.com/zh/wiki/银河区,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
阿盖咖啡厅,Nuka-World,https://fallout.fandom.com/zh/wiki/阿盖咖啡厅,此地点为普通探索区域。详细的任务流程、战利品列表及内部地图请点击Wiki链接查看。,暂无核心分镜,普通地点
